0,1,2,3,4,5,6
2020,0.021378563464205583,0.01573614369470246,0.007988182445336212,0.010406869889658608,0.003527444228361548,0.0016611617707080267
2021,0.021428843472890324,0.015816036321877613,0.00805262522379977,0.010459560854678671,0.0035675536587396507,0.0017374129892903296
2022,0.02145036554299892,0.01586257412850624,0.008097457278186445,0.010493019405328994,0.003600610606503531,0.0017929750581619616
2023,0.021452280448981863,0.015884282030914597,0.0081298568508493,0.010514916263358137,0.0036322687836323,0.0018404783922316933
2024,0.02145246749085776,0.015900472374012327,0.008155457740860298,0.010533143287421168,0.0036622301451723423,0.0018804091740909923
2025,0.021452656912926263,0.015913643065726794,0.008178672656501247,0.010561521390130928,0.00368961491106963,0.0019137864021903032
2026,0.021452857051981702,0.015924416299125062,0.00819900747174484,0.010580239270121595,0.0037118052455189037,0.0019418737921860624
2027,0.021453211939919944,0.015933306678588024,0.00821589238578319,0.010596498587644814,0.003731693292178672,0.0019655102138349057
2028,0.021453702446257283,0.015953605940567304,0.008230105489080382,0.01061065515801184,0.0037509357510136744,0.001985717842770705
2029,0.021477594089546567,0.01597896634822994,0.008242161773287864,0.01062318624407794,0.0037699719879673577,0.002004193364237768
2030,0.02150448208324469,0.016003242661147846,0.008252303978282811,0.010634316179025188,0.003788781340290148,0.002021602235317774
2031,0.0215303930375987,0.016026044896624698,0.008260787929874142,0.01064387943849998,0.0038074580687396603,0.0020386251457225
2032,0.0215553704259852,0.01604772498044564,0.00826776860303258,0.010654114911834578,0.003826789848661666,0.0020555313561283766
2033,0.02157979010445676,0.01606867096585542,0.008274466250229835,0.010665172350867391,0.003847828704152872,0.002072956948041717
2034,0.02160313645859072,0.016088726482055477,0.008281703590764524,0.010676028688805348,0.003870400204358618,0.0020905262678866847
2035,0.021626025538423767,0.016108499724261125,0.00828639021641572,0.010684268143639871,0.003894490524012861,0.00210971171347726
2036,0.021648582336748937,0.01612793328120105,0.008291775983169821,0.010693636158405104,0.003922470012419246,0.0021315487854334887
2037,0.02167081884762348,0.016147352694911198,0.008295793601938644,0.010701630512761757,0.003951793018628951,0.002156862608486215
2038,0.021692418250426733,0.01616670468404075,0.008299785267989359,0.010709227015187598,0.003983633922445898,0.0021848689385854107
2039,0.021713315987561013,0.01618565269400583,0.008302382674206792,0.010715624903624573,0.004020367145472623,0.002216317953079735
2040,0.02173356682605863,0.016204330314911128,0.008304877718504073,0.01072313060018407,0.00406223250062882,0.002252531543482311
2041,0.021753318659666027,0.016223720142103087,0.008307696845930178,0.010733597227134423,0.004111276513536672,0.0022945955336631857
2042,0.02177251161326016,0.016244105789161682,0.008311655919711225,0.01074605448625554,0.0041656536659414965,0.0023412142838223162
2043,0.02179140877487909,0.016264985506122008,0.008314313296803379,0.010762482708612015,0.004227786279495878,0.002395208438831989
2044,0.02181006517589391,0.016285391373614514,0.008315993141331267,0.010782980100342121,0.004298317318357079,0.0024567711820524104
2045,0.0218286094019152,0.01630650806133964,0.008317714461378483,0.01081253814150173,0.004380884748381863,0.002529217643298759
2046,0.02184672317998394,0.016328276085129198,0.00831950893193043,0.010835480032336484,0.004470393496071117,0.0026099146003417412
2047,0.021864527622692868,0.016350400567505717,0.008322220527251505,0.010863571483241763,0.004572757838976177,0.002702508904551165
2048,0.0218831053966037,0.01637297937214105,0.008325850591104156,0.010900512318387229,0.0046973413081364684,0.002815469258712813
2049,0.02190345414953848,0.016397519177740415,0.008333353253310919,0.010948721981470294,0.004857179502767575,0.0029609476916478443
2050,0.021924242903037558,0.01642427083973616,0.008342494632045248,0.01100453904454164,0.005049898009092547,0.0031367824493887648
2051,0.021945281226305718,0.016453949526081958,0.00835702195682706,0.011077689687378805,0.00528264542448947,0.003350288387907345
2052,0.021966130459175986,0.016487368892165812,0.008377479871713837,0.011163018240173987,0.00555168732476725,0.0035985521856496663
2053,0.02198655772385379,0.016534709000118768,0.008419620253267212,0.01125087665933268,0.005856809726578013,0.0038847058125784095
2054,0.022006574914504397,0.0165660758400011,0.008429591063763422,0.01136009270584352,0.006201319537936758,0.004204944960236602
2055,0.02202997488171295,0.01660232954886071,0.008443636722446041,0.011535217974856788,0.0066831806386115425,0.004649548785431899
2056,0.02205730948624345,0.016648655185373198,0.0084669560661175,0.01181973586551237,0.007370895514004056,0.005274521748005509
2057,0.022084746627088463,0.016704437402392924,0.00850611775945687,0.0122356081543912,0.008210554908107627,0.006026413649461752
2058,0.022112691194978582,0.016772821793905553,0.008567499255786159,0.01281241038277478,0.009246502880395214,0.006952952889885529
2059,0.0221525806991446,0.01686172573950329,0.008682961692263133,0.01393430634035969,0.01109148125399772,0.008542622326271728
2060,0.022195621589201003,0.016976797452443338,0.008881551950890817,0.0156435191061605,0.013602139213529884,0.010608505447546136
